Commodity,Country,Time,Value (USD),Quantity (Wp),Unit price (USD/Wp)
Crysln Si PV Module,USA,2018,"151,646,661","300,068,786",0.505372995
Crysln Si PV Module,USA,2019,"175,607,520","440,024,732",0.399085568
Crysln Si PV Module,USA,2020,"127,108,489","391,109,355",0.324994755
Crysln Si PV Module,USA,2021,"18,932,676","167,826,802",0.112810801
Crysln Si PV Module,USA,2022,"337,254,565","1,009,110,617",0.334209708
Crysln Si PV Module,USA,2023,"556,961,570","1,767,937,964",0.315034566
Crysln Si PV Module,USA,2024,"249,518,420","824,715,439",0.302550926
Crysln Si PV Module,USA,2025,"3,975,691","22,806,645",0.174321607
Crysln Si PV Module,World Total,2018,"1,049,941,219","3,247,099,202",0.323347441
Crysln Si PV Module,World Total,2019,"3,831,662,763","13,706,938,962",0.279541827
Crysln Si PV Module,World Total,2020,"6,334,214,509","23,056,146,652",0.274729971
Crysln Si PV Module,World Total,2021,"4,964,524,991","18,568,665,547",0.267360354
Crysln Si PV Module,World Total,2022,"7,695,422,212","23,583,171,410",0.326309896
Crysln Si PV Module,World Total,2023,"14,663,698,964","41,980,245,623",0.34929998
Crysln Si PV Module,World Total,2024,"11,539,146,788","44,018,239,044",0.262144671
Crysln Si PV Module,World Total,2025,"1,701,461,698","9,361,077,527",0.181759172